cohort,gene,present,in_pam50
METABRIC,ACSM2B,TRUE,FALSE
METABRIC,ACSM3,TRUE,FALSE
METABRIC,ACSM4,TRUE,FALSE
METABRIC,ACSM5,TRUE,FALSE
METABRIC,ACSM6,TRUE,FALSE
METABRIC,ACSS1,TRUE,FALSE
METABRIC,ACSS2,TRUE,FALSE
METABRIC,ACSS3,TRUE,FALSE
METABRIC,ACTA1,TRUE,FALSE
METABRIC,ACTA2,TRUE,FALSE
METABRIC,ACTB,TRUE,FALSE
METABRIC,ACTBL2,TRUE,FALSE
METABRIC,ACTC1,TRUE,FALSE
METABRIC,ACTG1,TRUE,FALSE
METABRIC,ACTG1P20,TRUE,FALSE
METABRIC,ACTG2,TRUE,FALSE
METABRIC,ACTL10,TRUE,FALSE
METABRIC,ACTL6A,TRUE,FALSE
METABRIC,ACTL6B,TRUE,FALSE
METABRIC,ACTL7A,TRUE,FALSE
METABRIC,ACTL7B,TRUE,FALSE
METABRIC,ACTL8,TRUE,FALSE
METABRIC,ACTL9,TRUE,FALSE
METABRIC,ACTMAP,TRUE,FALSE
METABRIC,ACTN1,TRUE,FALSE
METABRIC,ACTN2,TRUE,FALSE
METABRIC,ACTN3,TRUE,FALSE
METABRIC,ACTN4,TRUE,FALSE
METABRIC,ACTR10,TRUE,FALSE
METABRIC,ACTR1A,TRUE,FALSE
METABRIC,ACTR1B,TRUE,FALSE
METABRIC,ACTR2,TRUE,FALSE
METABRIC,ACTR3,TRUE,FALSE
METABRIC,ACTR3B,TRUE,TRUE
METABRIC,ACTR3BP2,TRUE,FALSE
METABRIC,ACTR3BP5,TRUE,FALSE
METABRIC,ACTR3C,TRUE,FALSE
METABRIC,ACTR5,TRUE,FALSE
METABRIC,ACTR6,TRUE,FALSE
METABRIC,ACTR8,TRUE,FALSE
METABRIC,ACTRT1,TRUE,FALSE
METABRIC,ACTRT2,TRUE,FALSE
METABRIC,ACTRT3,TRUE,FALSE
METABRIC,ACVR1,TRUE,FALSE
METABRIC,ACVR1B,TRUE,FALSE
METABRIC,ACVR1C,TRUE,FALSE
METABRIC,ACVR2A,TRUE,FALSE
METABRIC,ACVR2B,TRUE,FALSE
METABRIC,ACVRL1,TRUE,FALSE
METABRIC,ACY1,TRUE,FALSE
METABRIC,ACY3,TRUE,FALSE
METABRIC,ACYP1,TRUE,FALSE
METABRIC,ACYP2,TRUE,FALSE
METABRIC,ADA,TRUE,FALSE
METABRIC,ADA2,TRUE,FALSE
METABRIC,ADAD1,TRUE,FALSE
METABRIC,ADAD2,TRUE,FALSE
METABRIC,ADAM10,TRUE,FALSE
METABRIC,ADAM11,TRUE,FALSE
METABRIC,ADAM12,TRUE,FALSE
METABRIC,ADAM15,TRUE,FALSE
METABRIC,ADAM17,TRUE,FALSE
METABRIC,ADAM18,TRUE,FALSE
METABRIC,ADAM19,TRUE,FALSE
METABRIC,ADAM2,TRUE,FALSE
METABRIC,ADAM20,TRUE,FALSE
METABRIC,ADAM20P1,TRUE,FALSE
METABRIC,ADAM21,TRUE,FALSE
METABRIC,ADAM22,TRUE,FALSE
METABRIC,ADAM23,TRUE,FALSE
METABRIC,ADAM28,TRUE,FALSE
METABRIC,ADAM29,TRUE,FALSE
METABRIC,ADAM30,TRUE,FALSE
METABRIC,ADAM32,TRUE,FALSE
METABRIC,ADAM33,TRUE,FALSE
METABRIC,ADAM3A,TRUE,FALSE
METABRIC,ADAM5,TRUE,FALSE
METABRIC,ADAM6,TRUE,FALSE
METABRIC,ADAM7,TRUE,FALSE
METABRIC,ADAM8,TRUE,FALSE
METABRIC,ADAM9,TRUE,FALSE
METABRIC,ADAMDEC1,TRUE,FALSE
METABRIC,ADAMTS1,TRUE,FALSE
METABRIC,ADAMTS10,TRUE,FALSE
METABRIC,ADAMTS12,TRUE,FALSE
METABRIC,ADAMTS13,TRUE,FALSE
METABRIC,ADAMTS14,TRUE,FALSE
METABRIC,ADAMTS15,TRUE,FALSE
METABRIC,ADAMTS16,TRUE,FALSE
METABRIC,ADAMTS17,TRUE,FALSE
METABRIC,ADAMTS18,TRUE,FALSE
METABRIC,ADAMTS19,TRUE,FALSE
METABRIC,ADAMTS2,TRUE,FALSE
METABRIC,ADAMTS20,TRUE,FALSE
METABRIC,ADAMTS3,TRUE,FALSE
METABRIC,ADAMTS4,TRUE,FALSE
METABRIC,ADAMTS5,TRUE,FALSE
METABRIC,ADAMTS6,TRUE,FALSE
METABRIC,ADAMTS7,TRUE,FALSE
METABRIC,ADAMTS7P1,TRUE,FALSE
METABRIC,ADAMTS8,TRUE,FALSE
METABRIC,ADAMTS9,TRUE,FALSE
METABRIC,ADAMTSL1,TRUE,FALSE
METABRIC,ADAMTSL2,TRUE,FALSE
METABRIC,ADAMTSL3,TRUE,FALSE
METABRIC,ADAMTSL4,TRUE,FALSE
METABRIC,ADAMTSL4-AS1,TRUE,FALSE
METABRIC,ADAMTSL5,TRUE,FALSE
METABRIC,ADAP1,TRUE,FALSE
METABRIC,ADAP2,TRUE,FALSE
METABRIC,ADAR,TRUE,FALSE
METABRIC,ADARB1,TRUE,FALSE
METABRIC,ADARB2,TRUE,FALSE
METABRIC,ADARB2-AS1,TRUE,FALSE
METABRIC,ADAT1,TRUE,FALSE
METABRIC,ADAT2,TRUE,FALSE
METABRIC,ADAT3,TRUE,FALSE
METABRIC,ADCK1,TRUE,FALSE
METABRIC,ADCK2,TRUE,FALSE
METABRIC,ADCK5,TRUE,FALSE
METABRIC,ADCY1,TRUE,FALSE
METABRIC,ADCY10,TRUE,FALSE
METABRIC,ADCY10P1,TRUE,FALSE
METABRIC,ADCY2,TRUE,FALSE
METABRIC,ADCY3,TRUE,FALSE
METABRIC,ADCY4,TRUE,FALSE
METABRIC,ADCY5,TRUE,FALSE
METABRIC,ADCY6,TRUE,FALSE
METABRIC,ADCY7,TRUE,FALSE
METABRIC,ADCY8,TRUE,FALSE
METABRIC,ADCY9,TRUE,FALSE
METABRIC,ADCYAP1,TRUE,FALSE
METABRIC,ADCYAP1R1,TRUE,FALSE
METABRIC,ADD1,TRUE,FALSE
METABRIC,ADD2,TRUE,FALSE
METABRIC,ADD3,TRUE,FALSE
METABRIC,ADGB,TRUE,FALSE
METABRIC,ADGRA1,TRUE,FALSE
METABRIC,ADGRA2,TRUE,FALSE
METABRIC,ADGRA3,TRUE,FALSE
METABRIC,ADGRB1,TRUE,FALSE
METABRIC,ADGRB2,TRUE,FALSE
METABRIC,ADGRB3,TRUE,FALSE
METABRIC,ADGRD1,TRUE,FALSE
METABRIC,ADGRD2,TRUE,FALSE
METABRIC,ADGRE1,TRUE,FALSE
METABRIC,ADGRE2,TRUE,FALSE
METABRIC,ADGRE3,TRUE,FALSE
METABRIC,ADGRE4P,TRUE,FALSE
METABRIC,ADGRE5,TRUE,FALSE
METABRIC,ADGRF1,TRUE,FALSE
METABRIC,ADGRF2P,TRUE,FALSE
METABRIC,ADGRF3,TRUE,FALSE
METABRIC,ADGRF4,TRUE,FALSE
METABRIC,ADGRF5,TRUE,FALSE
METABRIC,ADGRG1,TRUE,FALSE
METABRIC,ADGRG2,TRUE,FALSE
METABRIC,ADGRG3,TRUE,FALSE
METABRIC,ADGRG4,TRUE,FALSE
METABRIC,ADGRG5,TRUE,FALSE
METABRIC,ADGRG6,TRUE,FALSE
METABRIC,ADGRG7,TRUE,FALSE
METABRIC,ADGRL1,TRUE,FALSE
METABRIC,ADGRL2,TRUE,FALSE
METABRIC,ADGRL3,TRUE,FALSE
METABRIC,ADGRV1,TRUE,FALSE
METABRIC,ADH1A,TRUE,FALSE
METABRIC,ADH1B,TRUE,FALSE
METABRIC,ADH1C,TRUE,FALSE
METABRIC,ADH4,TRUE,FALSE
METABRIC,ADH5,TRUE,FALSE
METABRIC,ADH6,TRUE,FALSE
METABRIC,ADH7,TRUE,FALSE
METABRIC,ADHFE1,TRUE,FALSE
METABRIC,ADI1,TRUE,FALSE
METABRIC,ADIG,TRUE,FALSE
METABRIC,ADIPOQ,TRUE,FALSE
METABRIC,ADIPOR1,TRUE,FALSE
METABRIC,ADIPOR2,TRUE,FALSE
METABRIC,ADIRF,TRUE,FALSE
METABRIC,ADISSP,TRUE,FALSE
METABRIC,ADK,TRUE,FALSE
METABRIC,ADM,TRUE,FALSE
METABRIC,ADM2,TRUE,FALSE
METABRIC,ADM5,TRUE,FALSE
METABRIC,ADNP,TRUE,FALSE
METABRIC,ADNP2,TRUE,FALSE
METABRIC,ADO,TRUE,FALSE
METABRIC,ADORA1,TRUE,FALSE
METABRIC,ADORA2A,TRUE,FALSE
METABRIC,ADORA2A-AS1,TRUE,FALSE
METABRIC,ADORA2B,TRUE,FALSE
METABRIC,ADORA3,TRUE,FALSE
METABRIC,ADPGK,TRUE,FALSE
METABRIC,ADPRH,TRUE,FALSE
METABRIC,ADPRHL1,TRUE,FALSE
METABRIC,ADPRM,TRUE,FALSE
METABRIC,ADPRS,TRUE,FALSE
METABRIC,ADRA1A,TRUE,FALSE
METABRIC,ADRA1B,TRUE,FALSE
METABRIC,ADRA1D,TRUE,FALSE
METABRIC,ADRA2A,TRUE,FALSE
METABRIC,ADRA2B,TRUE,FALSE
METABRIC,ADRA2C,TRUE,FALSE
METABRIC,ADRB1,TRUE,FALSE
METABRIC,ADRB2,TRUE,FALSE
METABRIC,ADRB3,TRUE,FALSE
METABRIC,ADRM1,TRUE,FALSE
METABRIC,ADSL,TRUE,FALSE
METABRIC,ADSS1,TRUE,FALSE
METABRIC,ADSS2,TRUE,FALSE
METABRIC,ADTRP,TRUE,FALSE
METABRIC,AEBP1,TRUE,FALSE
METABRIC,AEBP2,TRUE,FALSE
METABRIC,AEN,TRUE,FALSE
METABRIC,AFAP1,TRUE,FALSE
METABRIC,AFAP1L1,TRUE,FALSE
METABRIC,AFAP1L2,TRUE,FALSE
METABRIC,AFDN,TRUE,FALSE
METABRIC,AFDN-DT,TRUE,FALSE
METABRIC,AFF1,TRUE,FALSE
METABRIC,AFF2,TRUE,FALSE
METABRIC,AFF3,TRUE,FALSE
METABRIC,AFF4,TRUE,FALSE
METABRIC,AFG1L,TRUE,FALSE
METABRIC,AFG2A,TRUE,FALSE
METABRIC,AFG2B,TRUE,FALSE
METABRIC,AFG3L1P,TRUE,FALSE
METABRIC,AFG3L2,TRUE,FALSE
METABRIC,AFM,TRUE,FALSE
METABRIC,AFMID,TRUE,FALSE
METABRIC,AFP,TRUE,FALSE
METABRIC,AFTPH,TRUE,FALSE
METABRIC,AGA,TRUE,FALSE
METABRIC,AGA-DT,TRUE,FALSE
METABRIC,AGAP1,TRUE,FALSE
METABRIC,AGAP11,TRUE,FALSE
METABRIC,AGAP2,TRUE,FALSE
METABRIC,AGAP3,TRUE,FALSE
METABRIC,AGAP4,TRUE,FALSE
METABRIC,AGAP6,TRUE,FALSE
METABRIC,AGAP7P,TRUE,FALSE
METABRIC,AGBL1,TRUE,FALSE
METABRIC,AGBL2,TRUE,FALSE
METABRIC,AGBL4,TRUE,FALSE
METABRIC,AGBL5,TRUE,FALSE
METABRIC,AGER,TRUE,FALSE
METABRIC,AGFG1,TRUE,FALSE
METABRIC,AGFG2,TRUE,FALSE
METABRIC,AGGF1,TRUE,FALSE
METABRIC,AGK,TRUE,FALSE
METABRIC,AGL,TRUE,FALSE
METABRIC,AGMAT,TRUE,FALSE
METABRIC,AGMO,TRUE,FALSE
METABRIC,AGO1,TRUE,FALSE
METABRIC,AGO2,TRUE,FALSE
METABRIC,AGO3,TRUE,FALSE
METABRIC,AGO4,TRUE,FALSE
METABRIC,AGPAT1,TRUE,FALSE
METABRIC,AGPAT2,TRUE,FALSE
METABRIC,AGPAT3,TRUE,FALSE
METABRIC,AGPAT4,TRUE,FALSE
METABRIC,AGPAT4-IT1,TRUE,FALSE
METABRIC,AGPAT5,TRUE,FALSE
METABRIC,AGPS,TRUE,FALSE
METABRIC,AGR2,TRUE,FALSE
METABRIC,AGR3,TRUE,FALSE
METABRIC,AGRN,TRUE,FALSE
METABRIC,AGRP,TRUE,FALSE
METABRIC,AGT,TRUE,FALSE
METABRIC,AGTPBP1,TRUE,FALSE
METABRIC,AGTR1,TRUE,FALSE
METABRIC,AGTR2,TRUE,FALSE
METABRIC,AGTRAP,TRUE,FALSE
METABRIC,AGXT,TRUE,FALSE
METABRIC,AGXT2,TRUE,FALSE
METABRIC,AHCTF1,TRUE,FALSE
METABRIC,AHCY,TRUE,FALSE
METABRIC,AHCYL1,TRUE,FALSE
METABRIC,AHCYL2,TRUE,FALSE
METABRIC,AHDC1,TRUE,FALSE
METABRIC,AHI1,TRUE,FALSE
METABRIC,AHI1-DT,TRUE,FALSE
METABRIC,AHNAK,TRUE,FALSE
METABRIC,AHNAK2,TRUE,FALSE
