cohort,gene,present,in_pam50
SCANB,ACTRT1,TRUE,FALSE
SCANB,ACTRT2,TRUE,FALSE
SCANB,ACTRT3,TRUE,FALSE
SCANB,ACVR1,TRUE,FALSE
SCANB,ACVR1B,TRUE,FALSE
SCANB,ACVR1C,TRUE,FALSE
SCANB,ACVR2A,TRUE,FALSE
SCANB,ACVR2B,TRUE,FALSE
SCANB,ACVR2B-AS1,TRUE,FALSE
SCANB,ACVRL1,TRUE,FALSE
SCANB,ACY1,TRUE,FALSE
SCANB,ACY3,TRUE,FALSE
SCANB,ACYP1,TRUE,FALSE
SCANB,ACYP2,TRUE,FALSE
SCANB,ADA,TRUE,FALSE
SCANB,ADA2,TRUE,FALSE
SCANB,ADAD1,TRUE,FALSE
SCANB,ADAD2,TRUE,FALSE
SCANB,ADAM10,TRUE,FALSE
SCANB,ADAM11,TRUE,FALSE
SCANB,ADAM12,TRUE,FALSE
SCANB,ADAM15,TRUE,FALSE
SCANB,ADAM17,TRUE,FALSE
SCANB,ADAM18,TRUE,FALSE
SCANB,ADAM19,TRUE,FALSE
SCANB,ADAM1A,TRUE,FALSE
SCANB,ADAM2,TRUE,FALSE
SCANB,ADAM20,TRUE,FALSE
SCANB,ADAM20P1,TRUE,FALSE
SCANB,ADAM21,TRUE,FALSE
SCANB,ADAM21P1,TRUE,FALSE
SCANB,ADAM22,TRUE,FALSE
SCANB,ADAM23,TRUE,FALSE
SCANB,ADAM28,TRUE,FALSE
SCANB,ADAM29,TRUE,FALSE
SCANB,ADAM30,TRUE,FALSE
SCANB,ADAM32,TRUE,FALSE
SCANB,ADAM33,TRUE,FALSE
SCANB,ADAM3A,TRUE,FALSE
SCANB,ADAM5,TRUE,FALSE
SCANB,ADAM6,TRUE,FALSE
SCANB,ADAM7,TRUE,FALSE
SCANB,ADAM8,TRUE,FALSE
SCANB,ADAM9,TRUE,FALSE
SCANB,ADAMDEC1,TRUE,FALSE
SCANB,ADAMTS1,TRUE,FALSE
SCANB,ADAMTS10,TRUE,FALSE
SCANB,ADAMTS12,TRUE,FALSE
SCANB,ADAMTS13,TRUE,FALSE
SCANB,ADAMTS14,TRUE,FALSE
SCANB,ADAMTS15,TRUE,FALSE
SCANB,ADAMTS16,TRUE,FALSE
SCANB,ADAMTS17,TRUE,FALSE
SCANB,ADAMTS18,TRUE,FALSE
SCANB,ADAMTS19,TRUE,FALSE
SCANB,ADAMTS2,TRUE,FALSE
SCANB,ADAMTS20,TRUE,FALSE
SCANB,ADAMTS3,TRUE,FALSE
SCANB,ADAMTS4,TRUE,FALSE
SCANB,ADAMTS5,TRUE,FALSE
SCANB,ADAMTS6,TRUE,FALSE
SCANB,ADAMTS7,TRUE,FALSE
SCANB,ADAMTS7P1,TRUE,FALSE
SCANB,ADAMTS8,TRUE,FALSE
SCANB,ADAMTS9,TRUE,FALSE
SCANB,ADAMTS9-AS2,TRUE,FALSE
SCANB,ADAMTSL1,TRUE,FALSE
SCANB,ADAMTSL2,TRUE,FALSE
SCANB,ADAMTSL3,TRUE,FALSE
SCANB,ADAMTSL4,TRUE,FALSE
SCANB,ADAMTSL4-AS1,TRUE,FALSE
SCANB,ADAMTSL5,TRUE,FALSE
SCANB,ADAP1,TRUE,FALSE
SCANB,ADAP2,TRUE,FALSE
SCANB,ADAR,TRUE,FALSE
SCANB,ADARB1,TRUE,FALSE
SCANB,ADARB2,TRUE,FALSE
SCANB,ADARB2-AS1,TRUE,FALSE
SCANB,ADAT1,TRUE,FALSE
