cohort,gene,present,in_pam50
GSE20685,ALS2CL,TRUE,FALSE
GSE20685,ALX1,TRUE,FALSE
GSE20685,ALX3,TRUE,FALSE
GSE20685,ALX4,TRUE,FALSE
GSE20685,AMACR,TRUE,FALSE
GSE20685,AMBN,TRUE,FALSE
GSE20685,AMBP,TRUE,FALSE
GSE20685,AMBRA1,TRUE,FALSE
GSE20685,AMD1,TRUE,FALSE
GSE20685,AMDHD2,TRUE,FALSE
GSE20685,AMELX,TRUE,FALSE
GSE20685,AMELY,TRUE,FALSE
GSE20685,AMFR,TRUE,FALSE
GSE20685,AMH,TRUE,FALSE
GSE20685,AMHR2,TRUE,FALSE
GSE20685,AMIGO2,TRUE,FALSE
GSE20685,AMMECR1,TRUE,FALSE
GSE20685,AMN,TRUE,FALSE
GSE20685,AMOT,TRUE,FALSE
GSE20685,AMOTL2,TRUE,FALSE
GSE20685,AMPD1,TRUE,FALSE
GSE20685,AMPD2,TRUE,FALSE
GSE20685,AMPD3,TRUE,FALSE
GSE20685,AMPH,TRUE,FALSE
GSE20685,AMT,TRUE,FALSE
GSE20685,AMY1A,TRUE,FALSE
GSE20685,AMZ2,TRUE,FALSE
GSE20685,ANAPC1,TRUE,FALSE
GSE20685,ANAPC10,TRUE,FALSE
GSE20685,ANAPC13,TRUE,FALSE
GSE20685,ANAPC15,TRUE,FALSE
GSE20685,ANAPC2,TRUE,FALSE
GSE20685,ANAPC5,TRUE,FALSE
GSE20685,ANG,TRUE,FALSE
GSE20685,ANGEL1,TRUE,FALSE
GSE20685,ANGEL2,TRUE,FALSE
GSE20685,ANGPT1,TRUE,FALSE
GSE20685,ANGPT2,TRUE,FALSE
GSE20685,ANGPT4,TRUE,FALSE
GSE20685,ANGPTL2,TRUE,FALSE
GSE20685,ANGPTL3,TRUE,FALSE
GSE20685,ANGPTL4,TRUE,FALSE
GSE20685,ANGPTL7,TRUE,FALSE
GSE20685,ANGPTL8,TRUE,FALSE
GSE20685,ANK1,TRUE,FALSE
GSE20685,ANK2,TRUE,FALSE
GSE20685,ANK3,TRUE,FALSE
GSE20685,ANKEF1,TRUE,FALSE
GSE20685,ANKFY1,TRUE,FALSE
GSE20685,ANKH,TRUE,FALSE
GSE20685,ANKHD1,TRUE,FALSE
GSE20685,ANKLE2,TRUE,FALSE
GSE20685,ANKMY1,TRUE,FALSE
GSE20685,ANKMY2,TRUE,FALSE
GSE20685,ANKRA2,TRUE,FALSE
GSE20685,ANKRD1,TRUE,FALSE
GSE20685,ANKRD10,TRUE,FALSE
GSE20685,ANKRD10-IT1,TRUE,FALSE
GSE20685,ANKRD11,TRUE,FALSE
GSE20685,ANKRD12,TRUE,FALSE
GSE20685,ANKRD13C-DT,TRUE,FALSE
GSE20685,ANKRD17,TRUE,FALSE
GSE20685,ANKRD2,TRUE,FALSE
GSE20685,ANKRD26,TRUE,FALSE
GSE20685,ANKRD27,TRUE,FALSE
GSE20685,ANKRD28,TRUE,FALSE
GSE20685,ANKRD34C,TRUE,FALSE
GSE20685,ANKRD36,TRUE,FALSE
GSE20685,ANKRD36B,TRUE,FALSE
GSE20685,ANKRD36BP2,TRUE,FALSE
GSE20685,ANKRD40,TRUE,FALSE
GSE20685,ANKRD40CL,TRUE,FALSE
GSE20685,ANKRD42-DT,TRUE,FALSE
GSE20685,ANKRD46,TRUE,FALSE
GSE20685,ANKRD49,TRUE,FALSE
GSE20685,ANKRD53,TRUE,FALSE
GSE20685,ANKRD55,TRUE,FALSE
GSE20685,ANKRD6,TRUE,FALSE
GSE20685,ANKRD7,TRUE,FALSE
GSE20685,ANKS1A,TRUE,FALSE
GSE20685,ANKS1B,TRUE,FALSE
GSE20685,ANKZF1,TRUE,FALSE
GSE20685,ANO1,TRUE,FALSE
GSE20685,ANO10,TRUE,FALSE
GSE20685,ANO2,TRUE,FALSE
GSE20685,ANO3,TRUE,FALSE
GSE20685,ANOS1,TRUE,FALSE
GSE20685,ANOS2P,TRUE,FALSE
GSE20685,ANP32A,TRUE,FALSE
GSE20685,ANP32A-IT1,TRUE,FALSE
GSE20685,ANP32B,TRUE,FALSE
GSE20685,ANP32CP,TRUE,FALSE
GSE20685,ANP32D,TRUE,FALSE
GSE20685,ANP32E,TRUE,FALSE
GSE20685,ANPEP,TRUE,FALSE
GSE20685,ANTKMT,TRUE,FALSE
GSE20685,ANTXR1,TRUE,FALSE
GSE20685,ANXA1,TRUE,FALSE
GSE20685,ANXA10,TRUE,FALSE
GSE20685,ANXA11,TRUE,FALSE
GSE20685,ANXA13,TRUE,FALSE
GSE20685,ANXA2,TRUE,FALSE
GSE20685,ANXA2P1,TRUE,FALSE
GSE20685,ANXA2P2,TRUE,FALSE
GSE20685,ANXA2P3,TRUE,FALSE
GSE20685,ANXA3,TRUE,FALSE
GSE20685,ANXA4,TRUE,FALSE
GSE20685,ANXA5,TRUE,FALSE
GSE20685,ANXA6,TRUE,FALSE
GSE20685,ANXA7,TRUE,FALSE
GSE20685,ANXA8L1,TRUE,FALSE
GSE20685,ANXA9,TRUE,FALSE
GSE20685,AOAH,TRUE,FALSE
GSE20685,AOC1,TRUE,FALSE
GSE20685,AOC2,TRUE,FALSE
GSE20685,AOC3,TRUE,FALSE
GSE20685,AOC4P,TRUE,FALSE
GSE20685,AOPEP,TRUE,FALSE
GSE20685,AOX1,TRUE,FALSE
GSE20685,AP1AR,TRUE,FALSE
GSE20685,AP1B1,TRUE,FALSE
GSE20685,AP1G1,TRUE,FALSE
GSE20685,AP1G2,TRUE,FALSE
GSE20685,AP1M2,TRUE,FALSE
GSE20685,AP1S1,TRUE,FALSE
GSE20685,AP1S2,TRUE,FALSE
GSE20685,AP2A2,TRUE,FALSE
GSE20685,AP2B1,TRUE,FALSE
GSE20685,AP2M1,TRUE,FALSE
GSE20685,AP2S1,TRUE,FALSE
GSE20685,AP3B1,TRUE,FALSE
GSE20685,AP3B2,TRUE,FALSE
GSE20685,AP3D1,TRUE,FALSE
GSE20685,AP3M2,TRUE,FALSE
GSE20685,AP3S1,TRUE,FALSE
GSE20685,AP3S2,TRUE,FALSE
GSE20685,AP4E1,TRUE,FALSE
GSE20685,AP4M1,TRUE,FALSE
GSE20685,AP4S1,TRUE,FALSE
GSE20685,AP5M1,TRUE,FALSE
GSE20685,AP5S1,TRUE,FALSE
GSE20685,AP5Z1,TRUE,FALSE
GSE20685,APAF1,TRUE,FALSE
GSE20685,APBA1,TRUE,FALSE
GSE20685,APBA2,TRUE,FALSE
GSE20685,APBA3,TRUE,FALSE
GSE20685,APBB1,TRUE,FALSE
GSE20685,APBB1IP,TRUE,FALSE
GSE20685,APBB2,TRUE,FALSE
GSE20685,APBB3,TRUE,FALSE
GSE20685,APC,TRUE,FALSE
GSE20685,APC2,TRUE,FALSE
GSE20685,APCS,TRUE,FALSE
GSE20685,APEH,TRUE,FALSE
GSE20685,APEX1,TRUE,FALSE
GSE20685,APEX2,TRUE,FALSE
GSE20685,APH1A,TRUE,FALSE
