sample_id,PC1,PC2,PC3,mahal_dist,is_outlier,pct_var_pc1,pct_var_pc2,pct_var_pc3,n_genes_pca
MB-0050,-0.4973308977241405,11.47195316109343,7.994717071128269,6.2232793281101815,FALSE,16.89,7.97,4.38,500
MB-0053,3.354496494229861,0.2337034177826569,1.522556671659125,0.24039065435506254,FALSE,16.89,7.97,4.38,500
MB-0054,-3.505409821696722,2.250659614561672,-3.0841462204165286,0.7067208520081022,FALSE,16.89,7.97,4.38,500
MB-0056,5.810812843909344,-1.8322886052710092,3.705663088511697,1.1107130909053755,FALSE,16.89,7.97,4.38,500
MB-0059,6.95816305447083,-1.0505151289611572,-0.9605643427748429,0.6430418515195149,FALSE,16.89,7.97,4.38,500
MB-0060,-6.037269263622866,-9.048973214849722,-3.723964370393549,3.1198403304314146,FALSE,16.89,7.97,4.38,500
MB-0062,-19.1816358554533,-6.536464221287025,8.127832536837024,8.443494276957086,FALSE,16.89,7.97,4.38,500
MB-0064,8.906436532628408,-5.133823891182426,7.109235841357403,3.9072439242579775,FALSE,16.89,7.97,4.38,500
MB-0066,5.6501648046806245,0.0071225123688780125,-4.94618052256349,1.4944370831036582,FALSE,16.89,7.97,4.38,500
MB-0068,4.551828828990595,5.381180321528169,1.0406459806625978,1.0216035210409462,FALSE,16.89,7.97,4.38,500
MB-0071,0.1952825506896485,3.728254590970843,-3.3392141217878266,0.858215060441804,FALSE,16.89,7.97,4.38,500
MB-0079,-7.661455742490869,4.323298815827416,-2.915358826887178,1.5520128213887319,FALSE,16.89,7.97,4.38,500
MB-0081,-5.4063518374588915,7.934734020561536,-3.0754327126198158,2.358098973814008,FALSE,16.89,7.97,4.38,500
MB-0083,4.588747744142295,7.8749283410440345,0.8851521799597426,1.841731559208351,FALSE,16.89,7.97,4.38,500
MB-0093,0.34753207125209207,2.6080802756482195,-4.856023207487275,1.2483040550322004,FALSE,16.89,7.97,4.38,500
MB-0095,14.138055267792106,-6.175431947265443,5.356030128722435,4.633008565674974,FALSE,16.89,7.97,4.38,500
MB-0097,8.096983755316808,-6.703687060229143,0.1729332150739858,1.9056488223650925,FALSE,16.89,7.97,4.38,500
MB-0099,1.2686912599616735,9.658200438510637,-3.6981632762846632,2.984698766727344,FALSE,16.89,7.97,4.38,500
MB-0100,-17.585966107491377,1.1671585354335972,7.299758211714313,6.127580898937706,FALSE,16.89,7.97,4.38,500
MB-0101,2.270799675808549,6.579263916243028,-1.812529255346079,1.2975485311716264,FALSE,16.89,7.97,4.38,500
MB-0102,1.5926619563426472,3.0874295780825096,-6.019249019707159,1.9227453757683344,FALSE,16.89,7.97,4.38,500
MB-0106,2.412902909593493,4.311778549243421,3.7068197688675477,1.1626652167624392,FALSE,16.89,7.97,4.38,500
MB-0107,2.811678908221742,-7.439552367346974,-0.1658187490146028,1.4841587594198777,FALSE,16.89,7.97,4.38,500
MB-0108,-6.670351643680445,3.546901144914719,-4.199291779744514,1.647324319281568,FALSE,16.89,7.97,4.38,500
MB-0109,-1.430834995580767,-9.635181952607105,-4.0905495444797,3.118203967285017,FALSE,16.89,7.97,4.38,500
MB-0110,-8.005656971362573,4.313271916006638,8.110786300602904,4.227943007136393,FALSE,16.89,7.97,4.38,500
MB-0111,6.955559057211573,8.59719952490529,2.1706929981474055,2.6431501837341638,FALSE,16.89,7.97,4.38,500
MB-0112,2.4316267510965766,5.672328845290196,-4.1473959164078655,1.6626345377505214,FALSE,16.89,7.97,4.38,500
MB-0113,-2.411843648920484,1.3788898410522643,-2.195684410776176,0.33660879002805916,FALSE,16.89,7.97,4.38,500
MB-0114,6.960260357708294,0.10307946871269488,3.0128636595890015,0.9880948441441539,FALSE,16.89,7.97,4.38,500
MB-0115,-20.595979287930174,-1.262260605405844,8.31603266114798,8.218331868794627,FALSE,16.89,7.97,4.38,500
MB-0116,3.321177190256767,10.636537456355573,5.5243926554245935,4.3632507595474435,FALSE,16.89,7.97,4.38,500
MB-0117,1.6097529752239021,6.325716939181107,0.09001189126602617,1.0354885877917612,FALSE,16.89,7.97,4.38,500
MB-0119,4.322625070209462,-4.134338974158958,-2.2597768043924864,0.8833264777315165,FALSE,16.89,7.97,4.38,500
MB-0120,-3.0807818488522196,1.3269072023154205,-7.53457716408798,2.74729267270498,FALSE,16.89,7.97,4.38,500
MB-0121,7.878477119166704,0.35091355953557224,1.677068242387039,0.8663405453127355,FALSE,16.89,7.97,4.38,500
MB-0122,6.721253870543657,7.55981039827257,3.790219479003384,2.6250351793305162,FALSE,16.89,7.97,4.38,500
MB-0123,3.3079328940377812,4.6909969391101685,2.3595069793746326,0.9359960026394186,FALSE,16.89,7.97,4.38,500
MB-0124,2.6563237648038145,8.256336592156902,1.3033795101673258,1.872180095297067,FALSE,16.89,7.97,4.38,500
MB-0125,13.663950413039625,-5.140882775614227,0.6806799261945908,2.8950696965958738,FALSE,16.89,7.97,4.38,500
MB-0126,9.891600596534012,-0.7032850779228523,2.2932721671286522,1.410861220460982,FALSE,16.89,7.97,4.38,500
MB-0127,-3.2118706554745065,8.354566738929318,0.021305846388727567,1.874231735308742,FALSE,16.89,7.97,4.38,500
MB-0128,-0.8512504355651017,12.042391733149438,1.6286775803261175,3.7698661173487786,FALSE,16.89,7.97,4.38,500
MB-0129,-9.440724165734299,2.2748605117035847,-4.1230545010576405,1.9609292399744287,FALSE,16.89,7.97,4.38,500
MB-0130,-0.7095735261734719,6.7037445070209225,-2.942616642885915,1.5291960699199343,FALSE,16.89,7.97,4.38,500
MB-0131,6.23311713704426,-4.299739439427968,-1.2259064335176901,0.9926524445087355,FALSE,16.89,7.97,4.38,500
MB-0133,4.384010561025009,7.904133225215751,6.2069273548965604,3.5539461093601283,FALSE,16.89,7.97,4.38,500
MB-0134,8.867120768210365,-2.970787235014575,5.693545112310594,2.6317886187423825,FALSE,16.89,7.97,4.38,500
MB-0135,9.017759723186076,-0.30461469448287376,-0.7194976195113706,0.9887605273151575,FALSE,16.89,7.97,4.38,500
